Ticker,Sector,Last_Close,Predicted_7d,Exp_Return_%,Buy_Prob,Threshold,Prof_Score,Candidate
STB,Banking,66900.0,67801.0,1.35,0.3107,0.52,0.004184,True
FMC,Seafood,38000.0,38206.0,0.54,0.5585,0.58,0.003029,True
RAL,Cables,87600.0,88021.0,0.48,0.5515,0.64,0.002651,True
GMD,Logistics,72600.0,72871.0,0.37,0.4921,0.56,0.001835,True
SFI,Logistics,28450.0,28543.0,0.33,0.4058,0.62,0.001328,True
PET,Trading,48500.0,48692.0,0.4,0.3039,0.5,0.001201,True
BMP,Materials,133000.0,133575.0,0.43,0.276,0.54,0.001194,True
PPC,Power,10250.0,10270.0,0.2,0.556,0.56,0.001097,True
DHA,Pharma,47100.0,47245.0,0.31,0.2589,0.48,0.000799,True
DMC,Pharma,60300.0,60347.0,0.08,0.5255,0.58,0.000411,True
PVD,Energy,33900.0,33966.0,0.2,0.1842,0.56,0.00036,False
SAM,Cables,7060.0,7066.0,0.08,0.1827,0.58,0.000146,False
PAC,Materials,24800.0,24780.0,-0.08,0.5207,0.58,-0.000426,False
VNM,FMCG,62800.0,62655.0,-0.23,0.2198,0.64,-0.000509,False
VIP,Logistics,11700.0,11688.0,-0.1,0.5112,0.58,-0.000531,False
SJS,Real Estate,53900.0,53630.0,-0.5,0.2069,0.56,-0.001035,False
BMC,Mining,13450.0,13426.0,-0.18,0.6134,0.48,-0.001107,False
FPT,Technology,77700.0,77403.0,-0.38,0.3099,0.58,-0.001185,False
ACB,Banking,23850.0,23775.0,-0.31,0.4015,0.58,-0.001262,False
MHC,Real Estate,9670.0,9626.0,-0.46,0.316,0.6,-0.001442,False
TDH,Real Estate,3690.0,3679.0,-0.3,0.6128,0.5,-0.00186,False
SSI,Securities,28600.0,28457.0,-0.5,0.4017,0.52,-0.002009,False
DHG,Pharma,100400.0,99861.0,-0.54,0.4278,0.6,-0.002297,False
KDC,FMCG,48800.0,48523.0,-0.57,0.53,0.56,-0.003006,False
PGC,Gas,14000.0,13917.0,-0.59,0.5178,0.54,-0.003075,False
VNE,Cables,3940.0,3918.0,-0.56,0.6194,0.6,-0.003465,False
HAX,Auto,10500.0,10297.0,-1.93,0.442,0.56,-0.008526,False
