,risk_score,risk_category,vol,mdd,var95,cvar95,down_dev,hist_mu
DHG,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.15905725415658686
KDC,0.11667847700024582,Low,0.08619630261781851,0.19352321417798904,0.11312708533199346,0.11310236146518306,0.04771884343411853,-0.07603210529594473
PPC,0.16319224757395603,Low,0.13392104194662208,0.28379662015166185,0.12129006604119151,0.12649891948679345,0.10353320612085166,0.018785084900524423
RAL,0.2049801293818313,Low,0.09572035684222137,0.3465345838075877,0.08698625890626084,0.23931895699932865,0.27414199258818367,-0.1505317153382331
VIP,0.25777907192739374,Low,0.2573634431843158,0.21836193004942384,0.18514464165323988,0.34675348722433713,0.3320385146977354,0.04295305334402236
DMC,0.27682689239000546,Low,0.2207777093906449,0.2824964973688166,0.19347944219949212,0.3574824060318401,0.3912672757031041,-0.09478131871108766
PGC,0.29296286257259757,Low,0.22830155799176027,0.36894746976549125,0.11989823270253076,0.34646846363745354,0.4513379303144034,0.1097722682766589
ACB,0.3215853053647024,Low,0.306646114721469,0.40160648425349227,0.19317387988928156,0.3483342926326663,0.35758157165470544,0.2607977902064948
VNM,0.34367695133985404,Low,0.39738998280496324,0.27884012249620116,0.2353538142418896,0.45574266286041204,0.3945817515808216,0.2232335371216375
FMC,0.3546495152485607,Medium,0.3719039978372857,0.2365860102454684,0.24863359917468297,0.5215313386048637,0.49713728401470647,0.055678020083470156
SFI,0.3663727879165595,Medium,0.35601670769321103,0.24793437148788874,0.3100431415090252,0.5015782784407229,0.5209309870224735,0.0808028176364386
DHA,0.44482475633284413,Medium,0.43108755697502926,0.6087939602367182,0.24230902466574708,0.45504642288410563,0.45423739109428,0.33939138862286644
FPT,0.44546454271092273,Medium,0.4566136058402094,0.5765416364694746,0.3132501396716377,0.44383935163756644,0.38633200969026105,-0.14270741072217916
STB,0.518546957035866,Medium,0.5995225218664463,0.362885082740976,0.4329021179068007,0.6546146288708027,0.6211495864801987,0.6561854910324525
BMC,0.5223357087481665,Medium,0.4487320639550112,0.6094816950691462,0.404879196689015,0.627216790100466,0.5514927409283614,-0.3346085562818462
GMD,0.523111369993982,Medium,0.6290619139961324,0.31446763298485303,0.4572802781416425,0.6824437466782738,0.6227091041244404,0.5052835114299311
BMP,0.5391321263055326,Medium,0.5435517496715331,0.614537275981904,0.41924829894065363,0.5902235226092185,0.514844544751066,0.30383603439661
HAX,0.5548583700680314,Medium,0.47076796697902107,0.7991883746415891,0.3672837194411405,0.5694720854495547,0.5232781863814504,-0.17134867149633332
SAM,0.5750520368351274,Medium,0.49873531955467165,0.7620935129537008,0.3804996417895027,0.627699124513213,0.5972668778210121,0.16333373200728374
SSI,0.6327351302978383,Medium,0.6489916016481407,0.679975527189729,0.44495415288798823,0.7269257875981816,0.6830909958069737,0.2841151115458141
PAC,0.6480598752982366,Medium,0.7152106535544372,0.6378070334798389,0.5749753610885238,0.7010401082666049,0.5976957672131475,0.25596152482685897
SJS,0.6489084942679088,Medium,0.6951009085953062,0.743995595278399,0.45742882276478664,0.6781269452234566,0.639530413086711,0.48171220842864154
PVD,0.6505758154042055,High,0.7352467040824241,0.4468782561885424,0.5983352899965095,0.8261408048444971,0.7430426440699154,0.6638484527137364
TDH,0.7088980841075265,High,0.7979716239791557,0.6929204949659855,0.5359138766856495,0.790676881697231,0.7359383118635109,0.35150989355498025
VNE,0.721927346780488,High,0.7561531698800983,0.9999999997756095,0.4494075671008748,0.6878423477712491,0.5988745918713247,0.4607262917688164
MHC,0.736894848326968,High,0.7610758608933352,0.77541627750696,0.6029855635305761,0.8228674108192585,0.7249639293192682,0.17787008144333122
PET,0.864413504993716,High,0.9999999997510755,0.45765402291438007,0.999999998308365,0.9999999981470784,0.9999999996241157,1.0128965565416463
